event_class,type,start,window_h,n_pre,chi2,p_value,cramers_v,standing_frac,standing_delta,n_pre_moving,chi2_moving,p_value_moving,cramers_v_moving
failure,Brake System Failure,2024-09-03 05:04:00,48,14065,355.3874421481475,1.0164955542229431e-76,0.015369013582249834,0.4092428012797725,-0.07194635911437791,8309.0,58.5118983857239,1.9692583820504086e-13,0.008652292805904209
failure,Brake System Failure,2024-09-03 05:04:00,72,20775,1165.5151307021038,2.2242123196553944e-252,0.02777075198822254,0.5980264741275572,0.11683731373340678,8351.0,58.218902123106844,2.279953726508008e-13,0.008630370714560714
failure,Brake System Failure,2024-09-22 05:49:43,24,7883,615.9029600029482,3.5955983612673625e-133,0.0202742670129019,0.3414943549410123,-0.13969480545313806,5191.0,2.2658760133345757,0.3220855753894144,0.00170606344648111
failure,Brake System Failure,2024-09-22 05:49:43,48,15753,1389.1979761962032,6.503194623164779e-301,0.03036921324017721,0.3323176537802323,-0.14887150661391807,10518.0,3.8997211006833092,0.14229391304059757,0.002230555514097191
failure,Brake System Failure,2024-09-22 05:49:43,72,22727,933.5340770987398,4.711079611057635e-202,0.024837820121907495,0.3793285519426233,-0.10186060845152706,14106.0,2.4691779821793145,0.2909543226151026,0.0017708456086968267
failure,Brake System Failure,2024-10-06 02:04:15,24,6932,626.6402807610115,1.690178527668057e-135,0.020456721573512818,0.3307847663012118,-0.1504043940929386,4639.0,1.0445566102039197,0.5931675905826235,0.0011587696894184427
failure,Brake System Failure,2024-10-06 02:04:15,48,10891,524.3176595735052,2.561120975550987e-113,0.018687481362193496,0.3714075842438711,-0.10978157615027928,6846.0,1.89618230866015,0.3874799574135782,0.001559035480330597
failure,Brake System Failure,2024-10-06 02:04:15,72,17348,484.5040340514665,1.0883489094677997e-104,0.0179254616229417,0.39739451233571593,-0.08379464805843445,10454.0,1.828829351553214,0.40075112679671815,0.001527568117107755
failure,Brake System Failure,2024-10-10 11:19:48,24,3775,487.72589252552,2.1806390768844458e-105,0.01806646053733448,0.6609271523178808,0.1797379919237304,1280.0,0.7404360240281093,0.6905837586686013,0.0009777201265435153
failure,Brake System Failure,2024-10-10 11:19:48,48,8526,234.7279246124686,1.3138317718752712e-50,0.012513483671058244,0.5632183908045977,0.0820292304104473,3724.0,7.4066007973798085,0.02464206348008554,0.003087423210255849
failure,Brake System Failure,2024-10-10 11:19:48,72,9329,537.0891576001712,4.368586081137633e-116,0.018923556169852838,0.6008146639511202,0.11962550355696977,3724.0,7.4066007973798085,0.02464206348008554,0.003087423210255849
failure,Compressor Module Failure,2024-10-31 15:08:06,24,2648,38.08184980525445,2.7159143654851317e-08,0.005050193583475128,0.5381419939577039,0.05695283356355352,1223.0,4.197544237341507,0.12260688256599767,0.0023280076683767346
failure,Compressor Module Failure,2024-10-31 15:08:06,48,9643,381.136003023159,2.697637487567762e-82,0.01593947790130638,0.5802136264647931,0.09902446607064275,4048.0,5.965913025476062,0.050642885975223303,0.0027703499143311946
failure,Compressor Module Failure,2024-10-31 15:08:06,72,13579,160.66711579977633,1.3157122800272254e-34,0.01033543138352914,0.5342072317549157,0.053018071360765306,6325.0,10.188408439088587,0.006132184566339755,0.003615049050376033
failure,Brake System Failure,2024-12-14 18:56:40,24,4369,1.9317631994174955,0.5866895854597729,0.0011367783978046375,0.48249027237354086,0.001301111979390479,2261.0,1.9069774581278593,0.38539413962823926,0.0015680818158583802
failure,Brake System Failure,2024-12-14 18:56:40,48,11528,324.86705421564045,4.1222954676542484e-70,0.014706666854739462,0.3975537820957668,-0.08363537829838358,6945.0,3.7205437198607694,0.1556303149697339,0.002183693117571827
failure,Brake System Failure,2024-12-14 18:56:40,72,17563,437.0065250874439,2.1301649129366848e-94,0.017022943213722736,0.40266469282013323,-0.07852446757401715,10491.0,7.150413234755695,0.02800963789836752,0.0030204337411975654
failure,Brake System Failure,2025-01-21 06:11:15,24,6373,20.489953640410352,0.0001343379384154038,0.003699801683615791,0.5068256707986819,0.02563651040453152,3143.0,3.978805620153644,0.13677708295623892,0.0022637344875855226
failure,Brake System Failure,2025-01-21 06:11:15,48,13572,278.04694974122935,5.603053174882738e-60,0.013596439277472968,0.4101090480400825,-0.07108011235406786,8006.0,5.136836979656672,0.0766566829323453,0.0025641368670230725
failure,Brake System Failure,2025-01-21 06:11:15,72,18053,8.145128649537073,0.043105648758060694,0.0023236414742946027,0.47371627984268544,-0.007472880551464944,9501.0,4.09749592877992,0.12889618521545307,0.002287902237751849
maintenance,8-week-Revision,2024-07-02 07:04:01,24,4428,566.1372816401914,2.2080928301293035e-122,0.019460373674361726,0.30239385727190604,-0.17879530312224434,3089.0,0.5630250130196243,0.7546414776852186,0.0008515851381332658
maintenance,8-week-Revision,2024-07-02 07:04:01,48,9965,512.2632932785252,1.0494729052524188e-110,0.01847711313606787,0.367686904164576,-0.11350225622957438,6301.0,1.1393087467423664,0.5657209331325198,0.00120889455527283
maintenance,8-week-Revision,2024-07-02 07:04:01,72,15870,1041.248752679847,2.0269358809739984e-225,0.026291287275376836,0.35274102079395087,-0.12844813960019952,10272.0,2.613002909496111,0.2707656872635125,0.0018261412728453985
maintenance,48-week-Revision,2024-08-27 14:31:21,24,61,65.76637104910573,3.438865244047731e-14,0.006642437845110468,1.0,0.5188108396058496,,,,
maintenance,48-week-Revision,2024-08-27 14:31:21,48,182,196.20380612892941,2.7885306224340955e-42,0.011472594595431224,1.0,0.5188108396058496,,,,
maintenance,48-week-Revision,2024-08-27 14:31:21,72,182,196.20380612892941,2.7885306224340955e-42,0.011472594595431224,1.0,0.5188108396058496,,,,
maintenance,Revision Quality Control,2024-08-30 07:13:30,24,1589,1686.4861120920777,0.0,0.03361974823563232,0.9962240402769037,0.5150348798827533,,,,
maintenance,Revision Quality Control,2024-08-30 07:13:30,48,5332,5413.109422995118,0.0,0.06015648176426286,0.9855588897224306,0.5043697293282802,77.0,20.62661720238902,3.318845109329045e-05,0.005164428977476852
maintenance,Revision Quality Control,2024-08-30 07:13:30,72,6935,7125.511670400008,0.0,0.06898179212261232,0.9888968997837059,0.5077077393895555,77.0,20.62661720238902,3.318845109329045e-05,0.005164428977476852
maintenance,4-week-Revision,2024-09-23 05:15:24,24,4128,4379.759666377124,0.0,0.054132616444888745,0.9966085271317829,0.5154193667376326,14.0,7.320344571266516,0.02572807976598821,0.0030767467950577475
maintenance,4-week-Revision,2024-09-23 05:15:24,48,12013,286.32495936782004,9.06157406655357e-62,0.013804507540472624,0.5583950720053276,0.07720591161117718,5305.0,2.12399276346665,0.3457648422264505,0.0016516644709398697
