scope,target,tier,with_duration,model,n_features,r2,mae,baseline_r2,baseline_mae
all,peak_deceleration,auxonly,True,rf,11,0.4082797653606838,0.007351021526608241,-4.0179897692116384e-05,0.009670399844495645
all,peak_deceleration,full,False,lin,22,0.24500370452143805,0.00856075766909844,-4.0179897692116384e-05,0.009670399844495645
all,peak_deceleration,full,False,ridge,22,0.21371517043885468,0.008562694219639061,-4.0179897692116384e-05,0.009670399844495645
all,peak_deceleration,full,False,lasso,22,0.14835151742417363,0.008604412439968566,-4.0179897692116384e-05,0.009670399844495645
all,peak_deceleration,full,False,tree,22,0.38107115326031615,0.007283971407364961,-4.0179897692116384e-05,0.009670399844495645
all,peak_deceleration,full,False,rf,22,0.4491806151994495,0.006517051728918524,-4.0179897692116384e-05,0.009670399844495645
all,peak_deceleration,full,True,lin,23,0.24548847744362612,0.008555318400791554,-4.0179897692116384e-05,0.009670399844495645
all,peak_deceleration,full,True,ridge,23,0.2140645478014721,0.00855791045160234,-4.0179897692116384e-05,0.009670399844495645
all,peak_deceleration,full,True,lasso,23,0.1483999022824124,0.008600684417567986,-4.0179897692116384e-05,0.009670399844495645
all,peak_deceleration,full,True,tree,23,0.3905549539490014,0.0072490779993336345,-4.0179897692116384e-05,0.009670399844495645
all,peak_deceleration,full,True,rf,23,0.4501875010108036,0.006509560112787827,-4.0179897692116384e-05,0.009670399844495645
all,mean_deceleration,auxonly,False,lin,10,0.06434330452455916,0.004265330903905852,-2.5922468418482225e-06,0.004352400177131392
all,mean_deceleration,auxonly,False,ridge,10,0.060609427893439705,0.004278467634708505,-2.5922468418482225e-06,0.004352400177131392
all,mean_deceleration,auxonly,False,lasso,10,0.02912981588974617,0.004265766992947392,-2.5922468418482225e-06,0.004352400177131392
all,mean_deceleration,auxonly,False,tree,10,0.15190307961791738,0.0038405384939322225,-2.5922468418482225e-06,0.004352400177131392
all,mean_deceleration,auxonly,False,rf,10,0.41502780046907706,0.003396226611002617,-2.5922468418482225e-06,0.004352400177131392
all,mean_deceleration,auxonly,True,lin,11,0.09232303194068725,0.004234544960965242,-2.5922468418482225e-06,0.004352400177131392
all,mean_deceleration,auxonly,True,ridge,11,0.08824774822810899,0.004244874388178353,-2.5922468418482225e-06,0.004352400177131392
all,mean_deceleration,auxonly,True,lasso,11,0.057337843708062275,0.0042340682778494515,-2.5922468418482225e-06,0.004352400177131392
all,mean_deceleration,auxonly,True,tree,11,0.20556676119664685,0.0036375372170635184,-2.5922468418482225e-06,0.004352400177131392
all,mean_deceleration,auxonly,True,rf,11,0.4480472940091238,0.0031615385380924254,-2.5922468418482225e-06,0.004352400177131392
all,mean_deceleration,full,False,lin,22,0.14298372637120094,0.00404423459230693,-2.5922468418482225e-06,0.004352400177131392
all,mean_deceleration,full,False,ridge,22,0.13677355282485892,0.004060353213302201,-2.5922468418482225e-06,0.004352400177131392
all,mean_deceleration,full,False,lasso,22,0.08022475159257025,0.004128893720341411,-2.5922468418482225e-06,0.004352400177131392
all,mean_deceleration,full,False,tree,22,0.3395973962153449,0.0031818045088341383,-2.5922468418482225e-06,0.004352400177131392
all,mean_deceleration,full,False,rf,22,0.4841826264548583,0.0027788371480842507,-2.5922468418482225e-06,0.004352400177131392
all,mean_deceleration,full,True,lin,23,0.1432471836873883,0.004041406560882634,-2.5922468418482225e-06,0.004352400177131392
all,mean_deceleration,full,True,ridge,23,0.13710244014258832,0.004057023682036674,-2.5922468418482225e-06,0.004352400177131392
all,mean_deceleration,full,True,lasso,23,0.08022479788147763,0.004128893497672599,-2.5922468418482225e-06,0.004352400177131392
all,mean_deceleration,full,True,tree,23,0.3326423835672332,0.0031714057965314536,-2.5922468418482225e-06,0.004352400177131392
all,mean_deceleration,full,True,rf,23,0.48684937952475327,0.0027688181276119064,-2.5922468418482225e-06,0.004352400177131392
all,deceleration_energy_specific,auxonly,False,lin,10,0.1857439227797668,0.0979527477307756,-2.2736157981206873e-05,0.11111917974846189
all,deceleration_energy_specific,auxonly,False,ridge,10,0.18546510285587547,0.09796314288332998,-2.2736157981206873e-05,0.11111917974846189
all,deceleration_energy_specific,auxonly,False,lasso,10,0.18404689484405812,0.09793546628324425,-2.2736157981206873e-05,0.11111917974846189
all,deceleration_energy_specific,auxonly,False,tree,10,0.5315674037915536,0.07226370689075666,-2.2736157981206873e-05,0.11111917974846189
all,deceleration_energy_specific,auxonly,False,rf,10,0.5585591072054223,0.06790562799648901,-2.2736157981206873e-05,0.11111917974846189
all,deceleration_energy_specific,auxonly,True,lin,11,0.6422699928073186,0.06354130354345613,-2.2736157981206873e-05,0.11111917974846189
all,deceleration_energy_specific,auxonly,True,ridge,11,0.6417506130286557,0.06355404283647251,-2.2736157981206873e-05,0.11111917974846189
all,deceleration_energy_specific,auxonly,True,lasso,11,0.6401584914409096,0.06370403241479462,-2.2736157981206873e-05,0.11111917974846189
all,deceleration_energy_specific,auxonly,True,tree,11,0.7440493303306899,0.053214485234660346,-2.2736157981206873e-05,0.11111917974846189
all,deceleration_energy_specific,auxonly,True,rf,11,0.7585260626232244,0.05048307172516987,-2.2736157981206873e-05,0.11111917974846189
all,deceleration_energy_specific,full,False,lin,22,0.7164793352670014,0.05503353037698055,-2.2736157981206873e-05,0.11111917974846189
all,deceleration_energy_specific,full,False,ridge,22,0.7164126987111975,0.05503247036325824,-2.2736157981206873e-05,0.11111917974846189
all,deceleration_energy_specific,full,False,lasso,22,0.7137232900863099,0.055156509362820925,-2.2736157981206873e-05,0.11111917974846189
all,deceleration_energy_specific,full,False,tree,22,0.8306938118444119,0.041269300933150024,-2.2736157981206873e-05,0.11111917974846189
all,deceleration_energy_specific,full,False,rf,22,0.8485449200703579,0.03766758761290254,-2.2736157981206873e-05,0.11111917974846189
all,deceleration_energy_specific,full,True,lin,23,0.7187972836812866,0.05480136927154361,-2.2736157981206873e-05,0.11111917974846189
all,deceleration_energy_specific,full,True,ridge,23,0.7187100408720324,0.05479973248856536,-2.2736157981206873e-05,0.11111917974846189
all,deceleration_energy_specific,full,True,lasso,23,0.7161261400300457,0.0548836231983679,-2.2736157981206873e-05,0.11111917974846189
all,deceleration_energy_specific,full,True,tree,23,0.8325236974403607,0.04112727323685422,-2.2736157981206873e-05,0.11111917974846189
all,deceleration_energy_specific,full,True,rf,23,0.8495447478040159,0.03753022403279145,-2.2736157981206873e-05,0.11111917974846189
